"Violation","Title","Descriptive Statute Code","Descriptive Statute Year","Penalty Statute Code","Penalty Statute Year","Offense Level","Minumum Sentence","Maximum Sentence","Minimum Fine","Maximum Fine","Restitution","Public Official","Unspecified Classification","Unspecified Fines"
"Planning or Threatening Violent Act (threaten)","Title 21","21-1378.B",2004,"21-1378.B",2004,"Misdemeanor","0","6 months","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Planning or Threatening Violent Act (devise any plan/scheme/program of action)","Title 21","21-1378.C",2004,"21-1378.C",2004,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Willfully Bypassing a Security Checkpoint","Title 21","21-1379",2007,"21-1379",2007,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Obstructing or Impeding Passage Through Any State-Owned Building","Title 21","21-1379.1",2012,"21-1379.1",2012,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Funeral Picketing","Title 21","21-1380",2011,"21-1380.E",2011,"Misdemeanor","0","30 days","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"ARSON - FIRST DEGREE","Title 21","21-1401",2013,"21-1401.A",2013,"Felony","0","35","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"ARSON - FIRST DEGREE (while manufacturing/attempting to manufacture/endeavoring to manufacture a controlled dangerous substance)","Title 21","21-1401",2013,"21-1401.B",2013,"Felony","0","35","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"ARSON - SECOND DEGREE","Title 21","21-1402",2001,"21-1402",2001,"Felony","0","25","0","25000","No","Nonspecific","Not Applicable","Not Applicable"
"ARSON - THIRD DEGREE","Title 21","21-1403",1999,"21-1403.A",1999,"Felony","0","15","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"ARSON - THIRD DEGREE (with intent to injure or defraud the insurer)","Title 21","21-1403",1999,"21-1403.B",1999,"Felony","0","15","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"ARSON - FOURTH DEGREE (attempts or succeeds)","Title 21","21-1404",1999,"21-1404.A",1999,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"ARSON - FOURTH DEGREE (arrangement or preparation with intent)","Title 21","21-1404",1999,"21-1404.B",1999,"Felony","0","10","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"ENDANGER HUMAN LIFE DURING ARSON","Title 21","21-1405",1999,"21-1405",1999,"Felony","3","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"ENDANGER HUMAN LIFE DURING ARSON (INJURY RESULTS)","Title 21","21-1405",1999,"21-1405",1999,"Felony","7","Unspecified","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Bill of Lading-Fraud","Title 21","21-1411",1999,"21-1411",1999,"Felony","0","5","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Warehouse Receipts - Fraud","Title 21","21-1412",1999,"21-1412",1999,"Felony","0","5","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Issuing Duplicate Receipts","Title 21","21-1414",1999,"21-1414",1999,"Felony","0","5","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Selling Merchandise Without Consent","Title 21","21-1415",1999,"21-1415",1999,"Felony","0","5","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Delivery of Merchandise for Which Bill of Lading Issued (Property Worth <$1000)","Title 21","21-1416",1999,"21-1416",2018,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Delivery of Merchandise for Which Bill of Lading Issued (Property Worth >=$1000 Up To $2499)","Title 21","21-1416",1999,"21-1416",2018,"Felony","0","2","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Delivery of Merchandise for Which Bill of Lading Issued (Property Worth >=$2500 Up To $15000)","Title 21","21-1416",1999,"21-1416",2018,"Felony","0","5","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Delivery of Merchandise for Which Bill of Lading Issued (Property Worth >$15000)","Title 21","21-1416",1999,"21-1416",2018,"Felony","0","8","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"BURGLARY - FIRST DEGREE","Title 21","21-1431",1979,"21-1436",2018,"Felony","7","20","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"BURGLARY - SECOND DEGREE","Title 21","21-1435",2018,"21-1436",2018,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"BURGLARY - THIRD DEGREE","Title 21","21-1435",2018,"21-1436",2018,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"POSSESSION OF BURGLAR IMPLEMENTS","Title 21","21-1437",1910,"21-1437",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"BREAKING AND ENTERING (W/O INTENT TO BURGLARIZE)","Title 21","21-1438",1991,"21-1438.A",1991,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"BREAKING AND ENTERING (W/ INTENT TO BURGLARIZE)","Title 21","21-1438",1991,"21-1438.B",1991,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"BURGLARY WITH EXPLOSIVES","Title 21","21-1441",1999,"21-1441",1999,"Felony","20","50","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"POSSESSION OF CERTAIN TOOLS BY CONVICTED BURGLAR","Title 21","21-1442",1998,"21-1442",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"EMBEZZLEMENT (PROPERTY WORTH <$1000)","Title 21","21-1451",2018,"21-1451.B.1",2018,"Misdemeanor","0","1","Restitution","2222 + 1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"EMBEZZLEMENT (PROPERTY WORTH >=$1000 Up To $2499)","Title 21","21-1451",2018,"21-1451.B.2",2018,"Felony","0","1","Restitution","2222 + 5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"EMBEZZLEMENT (PROPERTY WORTH >=$2500 Up To $15000)","Title 21","21-1451",2018,"21-1451.B.3",2018,"Felony","0","5","Restitution","2222 + 5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"EMBEZZLEMENT (PROPERTY WORTH >$15000)","Title 21","21-1451",2018,"21-1451.B.4",2018,"Felony","0","8","Restitution","2222 + 10000","Yes","Nonspecific","Not Applicable","Not Applicable"
"EMBEZZLEMENT BY COUNTY/STATE OFFICIAL","Title 21","21-1451",2018,"21-1451.C",2018,"Felony","1","10","See Statute","See Statute","No","Applicable","Not Applicable","Not Applicable"
"Abandonment of Property or Goods Without Notice to Owner","Title 21","21-1465",2004,"21-1465",2004,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"EXTORTION","Title 21","21-1481",1910,"21-1483",1999,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"EXTORTION (ATTEMPT)","Title 21","21-1481",1910,"21-1483",1999,"Felony","0","2","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"EXTORTION (BY PUBLIC OFFICIAL)","Title 21","21-1481",1910,"21-1484",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Applicable","Check 21-9/21-10","Check 21-64"
"EXTORTION INDUCED BY THREATS","Title 21","21-1482",1910,"21-1483",1999,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"OBTAIN SIGNATURE BY EXTORTION","Title 21","21-1485",1910,"21-1483",1999,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"EXTORTION BY THREATENING LETTER","Title 21","21-1486",1910,"21-1483",1999,"Felony","0","2","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"BLACKMAIL","Title 21","21-1488",2010,"21-1488",2010,"Felony","0","5","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"SECURING REAL PROPERTY LOAN W/FALSE INST","Title 21","21-1500",1968,"21-1500",1968,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Falsely Obtaining Personal Property, Cash, Loans, Credit, or Promissory Note","Title 21","21-1501",2004,"21-1501",2004,"Misdemeanor","0","6 months","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Deceptive Advertising","Title 21","21-1502",1919,"21-1502",1919,"Misdemeanor","0","20 days","10","50","No","Nonspecific","Not Applicable","Not Applicable"
"Defrauding Hotels, Inns, Restaurants, etc. (Services Worth <$1000)","Title 21","21-1503",2017,"21-1503",2017,"Misdemeanor","0","3 months","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Defrauding Hotels, Inns, Restaurants, etc. (Services Worth >=$1000)","Title 21","21-1503",2017,"21-1503",2017,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Defrauding Hotels, Inns, Restaurants, etc. (W/ Intent)","Title 21","21-1503",2017,"21-1503",2017,"Felony","0","3 months","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"Increasing Weight of Packaged Goods","Title 21","21-1505",1910,"21-1505",1910,"Unspecified","Unspecified","Unspecified","25","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"Mock Auctions","Title 21","21-1506",1999,"21-1506",1999,"Felony","0","3","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Fraud at an Auction","Title 21","21-1507",1910,"21-1507",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Fictitious Partnerships","Title 21","21-1508",1910,"21-1508",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"False Pedigree of Animals","Title 21","21-1509",1910,"21-1509",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Destroying Marks or Documents of Ownership Upon Wrecked Property","Title 21","21-1510",1910,"21-1510",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Fraud by Limited Partnership Members","Title 21","21-1511",1910,"21-1511",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Misrepresentation in Selling Trees, Plants or Shrubs","Title 21","21-1512",1910,"21-1513",1910,"Misdemeanor","20 days","6 months","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"Frauds, Cheats, False Pretenses, and False Personations","Title 21","21-1513",1910,"21-1513",1910,"Misdemeanor","20 days","6 months","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"Deceptive Use of Emblems","Title 21","21-1514",1939,"21-1514",1939,"Misdemeanor","0","30 days","25","100","No","Nonspecific","Not Applicable","Not Applicable"
"Telecommunication Services - Unlawful Procurement","Title 21","21-1515",1991,"21-1515",1991,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Devices or Plans to Procure Services (Making/Possessing/etc.)","Title 21","21-1516",1965,"21-1516",1965,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Misrepresentation of Age by False Document","Title 21","21-1518",1965,"21-1519",1965,"Misdemeanor","0","30 days","0","100","No","Nonspecific","Not Applicable","Not Applicable"
"LEASING OR RENTING MV WITH BOGUS CHECK (PROPERTY WORTH <$1000)","Title 21","21-1521",2017,"21-1521",2017,"Misdemeanor","0","6 months","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"LEASING OR RENTING MV WITH BOGUS CHECK (PROPERTY WORTH >=$1000)","Title 21","21-1521",2017,"21-1521",2017,"Felony","0","7","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Publication of Telephone Credit Card Information for Fraudulent Purposes","Title 21","21-1522",1973,"21-1522",1973,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Civil Action for Damages","Title 21","21-1523",1973,"21-1523",1973,"Misdemeanor","0","1","See Statute","3333 + 1000","No","Nonspecific","Not Applicable","Not Applicable"
"Unauthorized Notary Public","Title 21","21-1524",1986,"21-1524",1986,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"FALSE PERSONATION OF ANOTHER","Title 21","21-1531",1999,"21-1531",1999,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"SECOND OR SUBSEQUENT FELONY CONVICTION WHERE MOST RECENT OFFENSE IS False Personation of Another","Title 21","21-1531",2018,"21-51.1.E.3",2018,"Felony","Unspecified","See Statute","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"RECEIVING MONEY/PROPERTY BY IMPERSONATING ANOTHER (PROPERTY WORTH <$1000)","Title 21","21-1532",2018,"21-1532.A",2018,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"RECEIVING MONEY/PROPERTY BY IMPERSONATING ANOTHER (PROPERTY WORTH >=$1000 Up To $2499)","Title 21","21-1532",2018,"21-1532.B",2018,"Felony","0","2","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"RECEIVING MONEY/PROPERTY BY IMPERSONATING ANOTHER (PROPERTY WORTH >=$2500 Up To $14999)","Title 21","21-1532",2018,"21-1532.C",2018,"Felony","0","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"RECEIVING MONEY/PROPERTY BY IMPERSONATING ANOTHER (PROPERTY WORTH >=$15000)","Title 21","21-1532",2018,"21-1532.D",2018,"Felony","0","8","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"IMPERSONATING PUBLIC OFFICER BY UNIFORM (APPEARANCE, ILLEGAL ACTS)","Title 21","21-1533",2012,"21-1533.A",2012,"Misdemeanor","0","6 months","0","2000","No","Nonspecific","Not Applicable","Not Applicable"
"IMPERSONATING PUBLIC OFFICER BY UNIFORM (PERSONATION, SHAM LEGAL PROCESS)","Title 21","21-1533",2012,"21-1533.B",2012,"Felony","0","2","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"IMPERSONATING PUBLIC OFFICER BY UNIFORM (ASSERT AUTHORITY OF LAW, SHAM LEGAL PROCESS)","Title 21","21-1533",2012,"21-1533.C",2012,"Felony","0","2","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"IMPERSONATING PUBLIC OFFICER BY UNIFORM (ASSERT AUTHORITY OF LAW, INTIMIDATE/HINDER PUBLIC OFFICIAL)","Title 21","21-1533",2012,"21-1533.D",2012,"Felony","0","2","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"IMPERSONATING PUBLIC OFFICER BY UNIFORM (PERSONATION, OFFICIAL W/ ADJUDICATIVE POWER)","Title 21","21-1533",2012,"21-1533.E",2012,"Felony","0","2","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"IMPERSONATING PUBLIC OFFICER BY VEHICLE (APPEARANCE, HIGHWAY PATROL)","Title 21","21-1533",2012,"21-1533.F.1",2012,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"IMPERSONATING PUBLIC OFFICER BY VEHICLE (ILLEGAL ACTS)","Title 21","21-1533",2012,"21-1533.F.2",2012,"Felony","0","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"IMPERSONATING PUBLIC OFFICER (""STATE POLICE"")","Title 21","21-1533",2012,"21-1533.G.1",2012,"Misdemeanor","Unspecified","Unspecified","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"IMPERSONATING PUBLIC OFFICER (COMMUNICATION, ILLEGAL ACTS)","Title 21","21-1533",2012,"21-1533.G.2",2012,"Felony","0","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"FRAUDULENTLY OBT ID OF OTHER (ENABLE)","Title 21","21-1533.1",2016,"21-1533.1.E",2016,"Misdemeanor","0","1","0","100000","No","Nonspecific","Not Applicable","Not Applicable"
"FRAUDULENTLY OBT ID OF OTHER (ENGAGE)","Title 21","21-1533.1",2016,"21-1533.1.E",2016,"Felony","1","5","0","100000","No","Nonspecific","Not Applicable","Not Applicable"
"Obtaining Personal, Financial or Other Information of Another From a Financial Institution","Title 21","21-1533.2",2004,"21-1533.2",2004,"Felony","0","10","Unspecified","Restitution","Yes","Nonspecific","Not Applicable","Not Applicable"
"Obtaining Property by Trick or Deception (PROPERTY WORTH <$1000)","Title 21","21-1541.1",2017,"21-1541.1",2017,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Obtaining Property by Trick or Deception (PROPERTY WORTH >=$1000 UP TO $2499)","Title 21","21-1541.1",2017,"21-1541.2.A.1",2018,"Felony","0","2","0","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"Obtaining Property by Trick or Deception (PROPERTY WORTH >=$2500 UP TO $14999)","Title 21","21-1541.1",2017,"21-1541.2.A.2",2018,"Felony","0","5","0","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"Obtaining Property by Trick or Deception (PROPERTY WORTH >=$15000)","Title 21","21-1541.1",2017,"21-1541.2.A.3",2018,"Felony","0","8","0","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"Two or More False or Bogus Checks, Drafts, or Orders (WORTH >=$2000 UP TO $2499)","Title 21","21-1541.4",2014,"21-1541.3.A.1",2018,"Felony","0","2","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Two or More False or Bogus Checks, Drafts, or Orders (WORTH >=$2500 UP TO $14999)","Title 21","21-1541.4",2014,"21-1541.3.A.2",2018,"Felony","0","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Two or More False or Bogus Checks, Drafts, or Orders (WORTH >=$15000)","Title 21","21-1541.4",2014,"21-1541.3.A.3",2018,"Felony","0","8","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Two or More False or Bogus Checks, Drafts, or Orders (WORTH >=$500 UP TO $1999)","Title 21","21-1541.4",2014,"21-1541.3.B",2018,"Misdemeanor","0","1","0","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"OBTAINING REFUND BY FALSE INFORMATION","Title 21","21-1541.6",1984,"21-1541.6",1984,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
